body_length,contains_lol,contains_omg,contains_attached,contains_attachment,contains_order_confirmation,contains_payment_summary,sender_has_common_domain,is_personal
1830,False,False,False,False,False,False,False,True
1522,False,False,False,False,False,False,True,True
1838,False,False,False,False,False,False,False,True
251,False,False,False,True,False,False,False,True
3170,False,False,False,False,False,False,False,True
2782,False,False,False,False,False,False,False,True
11026,False,False,False,False,False,False,False,True
7025,False,False,False,False,False,False,False,True
3265,False,False,False,True,False,False,True,True
3007,False,False,False,True,False,False,False,True
1954,False,False,False,False,False,False,True,True
1600,False,False,False,False,False,False,False,True
1841,False,False,False,False,False,False,False,True
1841,False,False,False,False,False,False,False,True
201,False,False,False,False,False,False,False,True
8520,False,False,False,False,False,False,False,True
7454,False,False,False,False,False,False,False,True
8520,False,False,False,False,False,False,False,True
8520,False,False,False,False,False,False,False,True
201,False,False,False,False,False,False,False,True
201,False,False,False,False,False,False,False,True
3801,False,False,False,False,False,False,False,True
1068,False,False,False,False,False,False,False,True
1593,False,False,False,False,False,False,False,True
1955,False,False,False,False,False,False,False,True
4499,False,False,False,False,False,False,False,True
5088,False,False,False,False,False,False,False,True
57838,False,False,False,False,False,False,False,True
4420,False,False,False,False,False,False,False,True
384,True,False,True,False,False,False,True,True
298,False,False,True,False,False,False,True,True
845,False,False,False,False,False,False,True,True
115,False,False,False,False,False,False,True,True
2,False,False,False,False,False,False,True,True
1376,False,False,False,False,False,False,True,True
1146,False,False,False,False,False,False,True,True
822,True,False,False,True,False,False,True,True
6847,False,False,True,False,False,False,True,True
6323,False,False,False,False,False,False,True,True
4230,False,False,False,False,False,False,True,True
2020,False,False,False,True,False,False,True,True
1608,False,False,False,False,False,False,True,True
1119,False,False,False,False,False,False,False,True
773,False,False,False,False,False,False,True,True
640,False,False,False,False,False,False,False,True
2246,False,False,False,False,False,False,False,True
1865,False,False,True,False,False,False,False,True
4720,False,False,False,False,False,False,False,True
16327,False,False,True,False,False,False,False,True
6165,False,False,False,True,False,False,True,True
1931,False,False,False,False,False,False,False,True
325,False,False,False,False,False,False,True,True
926,False,False,False,False,False,False,True,True
776,False,False,False,False,False,False,True,True
260,False,False,False,True,False,False,True,True
1405,True,False,False,False,False,False,True,True
1338,True,False,False,False,False,False,False,True
13259,False,False,False,False,False,False,True,True
0,False,False,False,False,False,False,False,True
53,False,False,False,False,False,False,True,True
2040,False,False,False,False,False,False,True,True
14690,False,False,False,False,False,False,True,True
4830,False,False,True,False,False,False,True,True
3466,False,False,False,False,False,False,True,True
3181,False,False,False,False,False,False,True,True
10438,False,False,False,False,False,False,True,True
1470,False,False,False,True,True,False,True,True
1321,False,False,False,False,False,False,True,True
580,False,False,False,False,False,False,True,True
0,False,False,False,False,False,False,False,True
17408,False,False,False,False,False,False,True,True
16971,False,False,False,False,False,False,True,True
22849,False,False,False,False,False,False,True,True
728,False,False,False,False,False,False,True,True
599,False,False,False,False,False,False,True,True
480,False,False,False,False,False,False,True,True
367,False,False,False,False,False,False,True,True
4,False,False,False,False,False,False,True,True
1552,False,False,False,False,False,False,True,True
331,False,False,False,False,False,False,False,True
85,False,False,False,False,False,False,True,True
34,False,False,False,False,False,False,True,True
1247,False,False,False,False,False,False,True,True
3027,False,False,False,False,False,False,True,True
23190,True,False,False,False,False,False,True,True
14691,False,False,False,False,False,False,True,True
23705,False,False,False,False,False,False,True,True
1371,False,False,False,False,False,False,True,True
1373,False,False,False,False,False,False,True,True
21076,False,False,False,False,True,False,True,True
2640,False,False,False,False,True,False,False,True
3511,False,False,False,False,False,False,False,True
27,False,False,False,False,False,False,True,True
2534,False,False,False,False,False,False,True,True
4220,False,False,False,False,False,False,True,True
4041,False,False,False,False,False,False,True,True
1073,False,False,False,False,False,False,False,True
11,False,False,False,False,False,False,True,True
85,False,False,False,False,False,False,True,True
471,False,False,True,False,False,False,True,True
381,False,False,True,False,False,False,True,True
211,False,False,False,False,False,False,True,True
5258,False,False,False,False,False,False,True,True
4017,False,False,False,False,False,False,True,True
17,False,False,False,False,False,False,True,True
4884,False,False,False,False,True,False,True,True
5083,False,False,False,False,False,False,True,True
5301,False,False,False,False,False,False,True,True
4791,False,False,False,False,False,False,True,True
4577,False,False,False,False,False,False,True,True
7449,False,False,False,False,False,False,False,True
861,False,False,False,False,False,False,True,True
501,False,False,False,False,False,False,True,True
390,False,False,False,False,False,False,True,True
284,False,False,False,True,False,False,False,True
258,False,False,False,True,False,False,False,True
532,False,False,False,False,False,False,True,True
360,False,False,False,False,False,False,True,True
654,False,False,False,False,False,False,True,True
127,False,False,False,False,False,False,True,True
31,False,False,False,False,False,False,True,True
1323,False,False,False,False,False,False,True,True
1289,False,False,False,False,False,False,True,True
4,False,False,False,False,False,False,True,True
3313,False,False,False,False,False,False,True,True
305,False,False,False,False,False,False,True,True
201,False,False,False,False,False,False,True,True
409,False,False,False,False,False,False,True,True
3035,True,False,False,False,False,False,True,True
2857,False,False,False,False,False,False,True,True
2624,False,False,False,False,False,False,True,True
2375,False,False,False,False,False,False,True,True
17911,False,False,False,False,False,False,True,True
257,False,False,False,True,False,False,False,True
492,False,False,False,False,False,False,True,True
8092,False,False,False,False,False,False,True,True
1772,False,False,False,False,False,False,True,True
8239,False,False,False,False,False,False,True,True
